Time	Open	High	Low	Close	Volume
2025.09.05 00:00	0.020843	0.020843	0.020842	0.020842	2
2025.09.05 00:01	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 00:02	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 00:03	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 00:04	0.020823	0.020823	0.020823	0.020823	3
2025.09.05 00:05	0.020821	0.020821	0.020821	0.020821	1
2025.09.05 00:06	0.020826	0.020826	0.020826	0.020826	1
2025.09.05 00:07	0.020826	0.020831	0.020826	0.020831	4
2025.09.05 00:08	0.020831	0.020831	0.02083	0.020831	16
2025.09.05 00:09	0.020831	0.020831	0.02083	0.02083	13
2025.09.05 00:10	0.02083	0.020831	0.02083	0.02083	10
2025.09.05 00:11	0.02083	0.02083	0.02083	0.02083	3
2025.09.05 00:12	0.02083	0.02083	0.020829	0.02083	14
2025.09.05 00:13	0.02083	0.020831	0.02083	0.020831	9
2025.09.05 00:14	0.020831	0.020831	0.020831	0.020831	3
2025.09.05 00:15	0.020831	0.020831	0.020831	0.020831	2
2025.09.05 00:16	0.020831	0.020832	0.02083	0.020832	15
2025.09.05 00:17	0.020832	0.020832	0.02083	0.02083	22
2025.09.05 00:18	0.02083	0.02083	0.020828	0.020828	10
2025.09.05 00:19	0.020828	0.020829	0.020828	0.020828	10
2025.09.05 00:20	0.020828	0.020828	0.020827	0.020827	13
2025.09.05 00:21	0.020827	0.020828	0.020827	0.020827	12
2025.09.05 00:22	0.020827	0.020828	0.020827	0.020827	6
2025.09.05 00:23	0.020833	0.020833	0.020833	0.020833	1
2025.09.05 00:24	0.020833	0.020833	0.020827	0.020827	6
2025.09.05 00:25	0.020827	0.020828	0.020827	0.020828	12
2025.09.05 00:26	0.020828	0.020829	0.020827	0.020829	21
2025.09.05 00:27	0.020829	0.020829	0.020828	0.020829	13
2025.09.05 00:28	0.020828	0.020829	0.020828	0.020829	10
2025.09.05 00:29	0.020829	0.02083	0.020829	0.02083	11
2025.09.05 00:30	0.020829	0.020833	0.020829	0.020832	14
2025.09.05 00:31	0.020832	0.020833	0.020832	0.020833	7
2025.09.05 00:32	0.020833	0.020833	0.020833	0.020833	6
2025.09.05 00:33	0.020833	0.020833	0.020832	0.020833	10
2025.09.05 00:34	0.020833	0.020833	0.020832	0.020833	5
2025.09.05 00:35	0.020833	0.020833	0.020832	0.020833	13
2025.09.05 00:36	0.020833	0.020833	0.020832	0.020832	17
2025.09.05 00:37	0.020832	0.020833	0.020831	0.020831	19
2025.09.05 00:38	0.020831	0.020832	0.020831	0.020832	12
2025.09.05 00:39	0.020832	0.020832	0.020831	0.020832	17
2025.09.05 00:40	0.020832	0.020832	0.020832	0.020832	9
2025.09.05 00:41	0.020832	0.020832	0.020831	0.020832	4
2025.09.05 00:42	0.020832	0.020832	0.02083	0.02083	8
2025.09.05 00:43	0.02083	0.020831	0.02083	0.02083	14
2025.09.05 00:44	0.020831	0.020831	0.02083	0.020831	12
2025.09.05 00:45	0.02083	0.020831	0.02083	0.02083	24
2025.09.05 00:46	0.02083	0.020831	0.02083	0.02083	12
2025.09.05 00:47	0.02083	0.020831	0.02083	0.02083	8
2025.09.05 00:48	0.020831	0.020831	0.020831	0.020831	14
2025.09.05 00:49	0.020831	0.020831	0.020831	0.020831	4
2025.09.05 00:50	0.020831	0.020831	0.020831	0.020831	5
2025.09.05 00:51	0.020831	0.020831	0.020831	0.020831	1
2025.09.05 00:52	0.020831	0.020831	0.020831	0.020831	1
2025.09.05 00:53	0.020831	0.020832	0.02083	0.020831	28
2025.09.05 00:54	0.020831	0.020831	0.020831	0.020831	11
2025.09.05 00:55	0.020831	0.020831	0.020831	0.020831	5
2025.09.05 00:56	0.020831	0.020831	0.02083	0.02083	11
2025.09.05 00:57	0.02083	0.02083	0.02083	0.02083	15
2025.09.05 00:58	0.02083	0.02083	0.020828	0.020828	20
2025.09.05 00:59	0.020828	0.020829	0.020828	0.020828	8
2025.09.05 01:00	0.020835	0.020835	0.020833	0.020833	21
2025.09.05 01:01	0.020833	0.020833	0.02083	0.02083	16
2025.09.05 01:02	0.02083	0.02083	0.02083	0.02083	2
2025.09.05 01:03	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 01:04	0.020787	0.020787	0.020787	0.020787	1
2025.09.05 01:05	0.020791	0.020791	0.020791	0.020791	1
2025.09.05 01:06	0.020791	0.020791	0.020791	0.020791	1
2025.09.05 01:07	0.020788	0.020789	0.020788	0.020789	2
2025.09.05 01:08	0.020789	0.020791	0.020789	0.02079	3
2025.09.05 01:09	0.020799	0.020799	0.020799	0.020799	1
2025.09.05 01:10	0.020799	0.020799	0.020799	0.020799	1
2025.09.05 01:11	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 01:12	0.020793	0.020793	0.020788	0.020791	4
2025.09.05 01:13	0.020792	0.020792	0.020788	0.020791	3
2025.09.05 01:14	0.020791	0.020795	0.020791	0.020795	2
2025.09.05 01:15	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 01:16	0.020793	0.020793	0.020791	0.020791	2
2025.09.05 01:17	0.020793	0.020793	0.020788	0.020791	5
2025.09.05 01:18	0.020788	0.020791	0.020788	0.020791	3
2025.09.05 01:19	0.020788	0.020788	0.020788	0.020788	1
2025.09.05 01:20	0.020791	0.020791	0.020791	0.020791	1
2025.09.05 01:21	0.020791	0.020791	0.020791	0.020791	1
2025.09.05 01:22	0.020791	0.020791	0.020791	0.020791	1
2025.09.05 01:23	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 01:24	0.020788	0.020788	0.020788	0.020788	1
2025.09.05 01:25	0.020792	0.020792	0.020788	0.020788	2
2025.09.05 01:26	0.020791	0.020791	0.020788	0.020791	4
2025.09.05 01:27	0.020788	0.020788	0.020788	0.020788	1
2025.09.05 01:28	0.020792	0.020792	0.020788	0.020788	2
2025.09.05 01:29	0.020792	0.020792	0.020788	0.020788	2
2025.09.05 01:30	0.020792	0.020792	0.020788	0.020791	4
2025.09.05 01:31	0.020792	0.020792	0.020788	0.020788	2
2025.09.05 01:32	0.020788	0.020791	0.020788	0.020791	3
2025.09.05 01:33	0.02079	0.02079	0.020787	0.020787	6
2025.09.05 01:34	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 01:35	0.020792	0.020792	0.020791	0.020792	3
2025.09.05 01:36	0.020793	0.020793	0.020793	0.020793	1
2025.09.05 01:37	0.020793	0.020795	0.020793	0.020794	5
2025.09.05 01:38	0.020794	0.020794	0.020791	0.020791	2
2025.09.05 01:39	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 01:40	0.020814	0.020814	0.020814	0.020814	1
2025.09.05 01:41	0.020793	0.020796	0.020793	0.020796	4
2025.09.05 01:42	0.020796	0.020796	0.020796	0.020796	1
2025.09.05 01:43	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 01:44	0.020794	0.020794	0.020791	0.020791	3
2025.09.05 01:45	0.020795	0.020795	0.020791	0.020791	2
2025.09.05 01:46	0.020794	0.020794	0.020791	0.020791	3
2025.09.05 01:47	0.020794	0.020794	0.020793	0.020793	2
2025.09.05 01:48	0.020794	0.020794	0.020793	0.020793	2
2025.09.05 01:49	0.020794	0.020794	0.020793	0.020793	2
2025.09.05 01:50	0.020796	0.020796	0.020796	0.020796	2
2025.09.05 01:51	0.020793	0.020793	0.020793	0.020793	1
2025.09.05 01:52	0.020794	0.020794	0.020793	0.020793	2
2025.09.05 01:53	0.020794	0.020794	0.020791	0.020794	3
2025.09.05 01:54	0.020794	0.020794	0.020791	0.020791	3
2025.09.05 01:55	0.020793	0.020796	0.020793	0.020796	2
2025.09.05 01:56	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 01:57	0.020794	0.020794	0.020791	0.020791	3
2025.09.05 01:58	0.020791	0.020791	0.020791	0.020791	1
2025.09.05 01:59	0.020793	0.020793	0.020793	0.020793	1
2025.09.05 02:00	0.020796	0.020796	0.020796	0.020796	1
2025.09.05 02:01	0.020793	0.020793	0.020791	0.020791	2
2025.09.05 02:02	0.020794	0.020794	0.020793	0.020793	2
2025.09.05 02:03	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 02:04	0.020793	0.020796	0.020793	0.020796	4
2025.09.05 02:05	0.020793	0.020796	0.020793	0.020796	3
2025.09.05 02:06	0.020793	0.020793	0.020793	0.020793	1
2025.09.05 02:07	0.020793	0.020796	0.020793	0.020796	2
2025.09.05 02:08	0.020793	0.020795	0.020793	0.020795	2
2025.09.05 02:09	0.020794	0.020795	0.020794	0.020795	4
2025.09.05 02:10	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 02:11	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 02:12	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 02:13	0.0208	0.0208	0.0208	0.0208	1
2025.09.05 02:14	0.0208	0.0208	0.0208	0.0208	1
2025.09.05 02:15	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 02:16	0.020793	0.020793	0.020793	0.020793	2
2025.09.05 02:17	0.020791	0.020791	0.020789	0.02079	9
2025.09.05 02:18	0.02079	0.020791	0.02079	0.020791	3
2025.09.05 02:19	0.02079	0.02079	0.02079	0.02079	1
2025.09.05 02:20	0.020789	0.020789	0.020788	0.020789	5
2025.09.05 02:21	0.020789	0.020792	0.020789	0.020792	2
2025.09.05 02:22	0.020789	0.020792	0.020789	0.020792	3
2025.09.05 02:23	0.020789	0.02079	0.020789	0.02079	2
2025.09.05 02:24	0.020791	0.020791	0.02079	0.02079	3
2025.09.05 02:25	0.02079	0.02079	0.02079	0.02079	1
2025.09.05 02:26	0.020812	0.020812	0.020812	0.020812	1
2025.09.05 02:27	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 02:28	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 02:29	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 02:30	0.020792	0.020792	0.020792	0.020792	1
2025.09.05 02:31	0.020789	0.020792	0.020789	0.020792	3
2025.09.05 02:32	0.020792	0.020792	0.020788	0.020788	6
2025.09.05 02:33	0.020788	0.020788	0.020787	0.020787	3
2025.09.05 02:34	0.020785	0.020785	0.020785	0.020785	1
2025.09.05 02:35	0.020787	0.020792	0.020787	0.020788	7
2025.09.05 02:36	0.020786	0.020786	0.020783	0.020783	2
2025.09.05 02:37	0.020784	0.020787	0.020784	0.020787	3
2025.09.05 02:38	0.020783	0.020787	0.020783	0.020783	6
2025.09.05 02:39	0.020783	0.020787	0.020783	0.020787	2
2025.09.05 02:40	0.020787	0.020787	0.020783	0.020783	3
2025.09.05 02:41	0.02078	0.020783	0.02078	0.020783	2
2025.09.05 02:42	0.020783	0.020783	0.020783	0.020783	1
2025.09.05 02:43	0.020782	0.020783	0.020782	0.020782	4
2025.09.05 02:44	0.020781	0.020782	0.020781	0.020782	2
2025.09.05 02:45	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 02:46	0.020801	0.020801	0.020801	0.020801	1
2025.09.05 02:47	0.020801	0.020802	0.020801	0.020802	2
2025.09.05 02:48	0.020801	0.020801	0.020801	0.020801	1
2025.09.05 02:49	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 02:50	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 02:51	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 02:52	0.020779	0.020783	0.020779	0.020783	2
2025.09.05 02:53	0.02078	0.020783	0.02078	0.020783	3
2025.09.05 02:54	0.02078	0.020783	0.020779	0.020783	5
2025.09.05 02:55	0.02078	0.020783	0.02078	0.020783	2
2025.09.05 02:56	0.020779	0.02078	0.020779	0.02078	2
2025.09.05 02:57	0.020782	0.020783	0.020781	0.020783	14
2025.09.05 02:58	0.02078	0.020783	0.02078	0.020783	3
2025.09.05 02:59	0.020782	0.020783	0.02078	0.020783	7
2025.09.05 03:00	0.020783	0.020783	0.020779	0.020779	8
2025.09.05 03:01	0.020783	0.020783	0.020779	0.020783	4
2025.09.05 03:02	0.020779	0.020783	0.020779	0.020779	3
2025.09.05 03:03	0.020776	0.020783	0.020776	0.020783	5
2025.09.05 03:04	0.020779	0.020779	0.020776	0.020776	2
2025.09.05 03:05	0.020782	0.020782	0.02078	0.02078	2
2025.09.05 03:06	0.020783	0.020783	0.02078	0.02078	3
2025.09.05 03:07	0.02078	0.020783	0.020779	0.020783	10
2025.09.05 03:08	0.02078	0.020782	0.02078	0.020782	3
2025.09.05 03:09	0.020782	0.020782	0.020781	0.020782	10
2025.09.05 03:10	0.020782	0.02079	0.02078	0.02079	8
2025.09.05 03:11	0.02079	0.02079	0.02078	0.02078	3
2025.09.05 03:12	0.02078	0.02078	0.02078	0.02078	2
2025.09.05 03:13	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 03:14	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 03:15	0.020786	0.020786	0.020786	0.020786	5
2025.09.05 03:16	0.020791	0.020791	0.020791	0.020791	1
2025.09.05 03:17	0.02079	0.02079	0.020786	0.020788	5
2025.09.05 03:18	0.020786	0.020791	0.020785	0.020791	3
2025.09.05 03:19	0.020787	0.020791	0.020783	0.020783	4
2025.09.05 03:20	0.020787	0.020787	0.020787	0.020787	1
2025.09.05 03:21	0.020787	0.020787	0.02078	0.02078	3
2025.09.05 03:22	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 03:23	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 03:24	0.020783	0.020787	0.020783	0.020787	4
2025.09.05 03:25	0.020784	0.020784	0.020783	0.020783	2
2025.09.05 03:26	0.020787	0.020787	0.020783	0.020787	5
2025.09.05 03:27	0.020784	0.020787	0.020784	0.020787	2
2025.09.05 03:28	0.020784	0.020785	0.020784	0.020785	4
2025.09.05 03:29	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 03:30	0.020784	0.020784	0.020784	0.020784	2
2025.09.05 03:31	0.020784	0.020787	0.020784	0.020787	7
2025.09.05 03:32	0.020784	0.020784	0.020784	0.020784	1
2025.09.05 03:33	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 03:34	0.020781	0.020781	0.020781	0.020781	1
2025.09.05 03:35	0.02078	0.02078	0.02078	0.02078	1
2025.09.05 03:36	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 03:37	0.02078	0.02078	0.02078	0.02078	1
2025.09.05 03:38	0.02078	0.02078	0.02078	0.02078	1
2025.09.05 03:39	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 03:40	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 03:41	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 03:42	0.02078	0.02078	0.02078	0.02078	1
2025.09.05 03:43	0.02078	0.020783	0.02078	0.020783	5
2025.09.05 03:44	0.02078	0.02078	0.020778	0.020778	3
2025.09.05 03:45	0.02078	0.020783	0.02078	0.020783	3
2025.09.05 03:46	0.020781	0.020781	0.02078	0.02078	3
2025.09.05 03:47	0.020783	0.020783	0.02078	0.020783	5
2025.09.05 03:48	0.020782	0.020783	0.02078	0.020783	5
2025.09.05 03:49	0.020779	0.020779	0.020778	0.020778	9
2025.09.05 03:50	0.020778	0.020801	0.020778	0.020799	4
2025.09.05 03:51	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 03:52	ERROR	ERROR	ERROR	ERROR	ERROR
2025.09.05 03:53	0.020783	0.020783	0.020783	0.020783	1
2025.09.05 03:54	0.020783	0.020787	0.020783	0.020787	3
2025.09.05 03:55	0.020783	0.020787	0.020783	0.020787	6
2025.09.05 03:56	0.020783	0.020783	0.02078	0.020783	3
2025.09.05 03:57	0.02078	0.02078	0.02078	0.02078	1
2025.09.05 03:58	0.020775	0.020779	0.020775	0.020779	5
2025.09.05 03:59	0.020776	0.020779	0.020776	0.020779	3
2025.09.05 04:00	0.020779	0.020779	0.020775	0.020775	6
2025.09.05 04:01	0.020779	0.020779	0.020775	0.020779	3
